ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4,ax5,ay5,az5,gx5,gy5,gz5,ax6,ay6,az6,gx6,gy6,gz6,ax7,ay7,az7,gx7,gy7,gz7,ax8,ay8,az8,gx8,gy8,gz8,ax9,ay9,az9,gx9,gy9,gz9,ax10,ay10,az10,gx10,gy10,gz10,ax11,ay11,az11,gx11,gy11,gz11,ax12,ay12,az12,gx12,gy12,gz12,ax13,ay13,az13,gx13,gy13,gz13,ax14,ay14,az14,gx14,gy14,gz14,label
0.17,0.09,0.63,-19.75,5.69,10.94,-0.29,-2.0,7.84,-32.13,-4.31,55.25,-8.92,-1.35,2.97,129.5,-334.06,-19.0,-10.4,-6.36,-15.13,15.94,-422.69,-233.63,-3.62,14.08,-8.45,112.69,583.19,-288.87,-14.5,16.6,14.9,-253.5,300.38,312.94,-10.64,-7.05,9.34,83.37,-163.75,316.06,-8.64,-6.27,-5.78,-87.0,-227.25,31.0,0.08,1.37,-8.05,3.37,-17.25,-128.0,1.99,2.73,0.48,14.31,34.5,-8.63,0.12,-0.73,0.98,-24.69,16.0,6.62,-0.5,-0.94,-0.01,-72.75,16.0,-3.31,-0.26,0.01,-0.16,-23.38,24.56,-8.75,-0.23,-0.11,0.3,-37.5,34.13,-14.56,0.01,-0.01,-0.06,-49.69,27.81,-15.25,circleCW
-2.98,0.54,5.1,-228.94,-11.12,128.19,-5.71,-6.47,-0.56,-77.0,-190.62,-30.69,-13.76,-1.63,-13.52,175.25,-237.75,-367.25,-2.24,13.61,-9.25,59.13,450.25,-343.63,-10.34,21.12,17.18,-103.31,373.13,399.06,-12.41,-5.05,12.51,96.25,-165.62,297.12,-8.18,-3.33,-5.91,53.87,-240.44,63.87,0.06,-1.7,-7.78,-8.13,-35.94,-115.44,2.01,2.12,-0.46,41.0,1.44,-40.75,0.87,0.08,0.53,-32.94,7.0,-12.06,0.11,-0.98,-0.63,-75.56,11.5,-8.94,-0.05,0.06,-0.31,-28.31,27.31,-8.19,-0.03,-0.37,-0.47,-63.5,44.25,-15.69,-0.22,0.09,-0.11,-58.06,54.81,-13.5,-0.42,0.32,0.49,-40.44,58.38,-5.19,circleCW
2.61,1.62,6.09,-125.19,26.56,44.88,-0.87,4.47,10.03,-245.25,-42.38,170.69,-10.83,-8.98,-1.2,-184.13,-146.5,-11.06,-15.12,0.23,-14.23,177.87,-269.19,-315.37,-7.94,6.25,-15.7,88.56,175.75,-359.37,-2.18,18.44,-0.75,357.81,490.88,20.75,-8.44,3.34,24.15,-137.37,70.12,374.5,-14.9,-4.44,-3.07,5.94,-217.87,156.5,-2.8,-3.41,-8.66,-54.88,-68.12,-70.81,1.86,4.78,-1.96,57.19,5.31,-58.81,0.91,1.12,0.94,-6.69,18.19,-19.37,1.05,-0.76,0.5,-33.19,6.19,-5.69,-0.16,0.94,-0.55,11.75,5.69,-3.56,-0.36,0.34,-0.29,-0.62,14.13,-16.0,-0.16,-0.07,-0.16,8.44,10.31,-17.37,circleCW
1.61,0.57,2.74,-53.25,41.44,33.56,-1.3,-2.26,5.44,-209.56,35.19,158.06,-7.95,-2.33,2.84,-44.5,-190.94,9.38,-19.05,4.47,-15.87,148.87,-448.56,-236.56,-1.86,8.25,-12.59,-50.56,231.19,-321.0,-3.78,22.14,7.31,256.0,460.25,199.62,-8.03,-3.29,11.7,14.94,-39.56,417.44,-13.55,-6.14,-3.8,-53.69,-217.13,30.75,-0.4,-0.49,-5.34,-74.5,-57.62,-158.25,1.57,4.39,-0.9,29.19,30.37,-29.63,0.06,0.84,0.96,19.75,17.81,-3.75,-0.56,-0.53,-0.01,-20.62,23.19,-17.0,-0.78,-0.2,0.13,-60.81,38.81,-38.19,-0.23,0.38,0.63,-48.69,51.44,-42.69,0.1,0.44,1.06,-17.0,47.19,-24.19,circleCW
2.51,1.22,1.98,-61.94,13.13,54.38,2.81,-1.63,5.53,-203.56,4.44,152.44,-10.7,-3.78,2.48,-26.62,-203.37,-60.12,-11.05,2.91,-8.45,-16.25,-450.87,-233.13,-6.25,9.05,-11.57,91.81,200.0,-319.56,-5.0,8.5,5.83,-191.88,429.06,227.56,-4.27,1.59,13.87,197.0,-116.75,384.13,-10.95,-3.04,0.08,-53.63,-192.5,43.56,-3.32,-2.42,-2.38,-56.06,-77.5,-114.31,1.55,3.92,-2.28,37.31,16.37,-46.81,1.04,1.22,-0.01,4.44,24.81,-9.94,0.07,-0.7,-0.31,5.62,12.56,0.81,-0.65,-0.4,0.16,-1.25,36.06,-5.5,-0.89,-0.87,0.52,-25.69,36.69,-28.69,-0.15,-0.07,-0.19,10.31,35.5,-43.69,circleCW
2.14,2.55,4.4,-119.25,17.31,122.44,-4.78,-7.19,3.29,-116.37,22.75,208.38,-10.9,-8.12,-13.74,-129.94,-232.75,-265.06,-10.17,5.17,-17.06,53.75,118.94,-448.19,2.25,18.88,5.8,184.37,414.25,251.5,-6.86,-2.86,16.04,119.31,-159.31,426.37,-15.37,-6.82,-4.83,-204.81,-300.5,-39.38,0.55,-0.2,-6.48,22.69,-25.88,-157.37,2.14,2.32,-0.45,-33.75,49.63,-18.12,-0.23,0.84,0.57,25.25,39.38,24.81,-1.07,-1.88,-0.32,-50.69,24.5,2.62,-0.75,-0.82,-0.43,27.87,33.75,-14.38,-0.34,-0.48,-0.21,4.37,38.38,-34.19,0.08,-0.13,1.33,-27.62,35.0,-35.56,-0.45,0.57,1.12,-46.31,14.75,-31.81,circleCW
-0.26,0.3,0.26,-13.38,-0.88,3.44,0.03,0.87,0.64,-22.0,-11.94,5.44,1.39,1.51,0.67,-126.81,-14.06,25.37,-0.16,2.36,7.42,-192.69,66.87,192.56,-9.23,-5.3,1.99,14.38,-116.37,83.81,-16.48,-2.55,-12.13,-41.31,-381.63,-356.31,-4.8,23.32,-2.7,17.19,316.12,-362.25,0.27,16.48,17.18,92.0,272.88,393.25,-9.13,-0.55,7.61,124.87,-182.25,329.38,-11.14,1.08,-2.94,-74.12,-236.5,21.75,-1.75,0.6,-4.4,64.62,-65.75,-125.69,1.34,3.1,-2.13,7.44,31.44,-73.62,1.41,1.53,0.08,-10.44,44.69,-22.81,-1.2,0.6,0.56,-56.81,28.38,5.94,-1.31,-0.29,0.28,0.75,15.31,1.25,circleCW
1.63,2.52,7.23,-180.87,102.56,219.56,-10.2,-2.59,4.42,27.06,23.25,158.94,-15.18,-0.74,-20.17,34.38,-301.44,-324.0,-6.18,8.8,-19.05,57.75,64.5,-449.69,-5.63,20.72,6.56,-114.12,502.0,130.87,-4.8,5.04,11.51,198.13,-72.69,384.0,-11.1,-4.62,-1.05,39.06,-181.75,147.81,-4.33,-2.1,-6.01,-110.37,-142.19,-131.06,0.98,1.26,-4.54,-53.75,-13.31,-122.13,1.07,2.24,-0.57,-17.69,28.87,-30.56,0.21,1.62,0.36,-22.19,11.38,7.0,-1.15,0.01,-0.56,-10.31,7.69,8.25,-0.93,0.83,-0.42,-16.12,15.94,-2.75,-0.73,1.2,-0.16,-98.5,23.56,-13.0,-0.86,1.82,-0.11,-80.62,39.38,5.81,circleCW
0.11,2.96,0.13,-55.63,-10.44,27.19,-2.73,2.62,7.12,-220.19,-36.38,151.56,-11.54,-2.58,0.79,-126.31,-351.44,101.94,-12.48,-7.78,-19.79,71.37,-464.87,-193.87,-2.0,3.6,-18.97,21.81,207.37,-394.87,-4.97,13.08,-9.58,131.81,470.81,195.31,-11.05,-4.93,13.76,54.56,-69.44,385.81,-5.7,-2.93,-6.37,-21.62,-268.5,25.62,-0.24,3.45,-7.51,47.94,-16.12,-72.75,-0.09,2.69,-0.25,-5.5,42.69,-31.94,-0.82,0.15,1.32,-61.75,42.0,-25.31,-1.19,0.34,-0.89,-54.81,66.31,-26.44,-0.64,-0.57,-1.32,-132.5,99.25,-40.75,-0.91,-0.21,0.09,-154.87,87.69,-58.0,-1.79,1.6,0.55,-44.19,79.87,-39.81,circleCW
-0.22,3.96,1.61,-120.19,2.19,62.06,-8.88,-8.05,3.86,-201.94,-92.06,136.44,-8.0,-5.36,-3.43,-19.5,-428.0,-43.63,-8.03,-1.17,-14.36,68.31,-337.38,-317.06,-0.12,5.23,-12.29,90.75,418.37,-386.31,-10.57,33.18,10.74,-9.56,399.25,219.81,-21.51,-3.28,11.29,-84.81,-7.0,364.19,-7.48,-2.08,-3.85,73.5,-256.87,127.94,0.58,0.96,-10.16,-112.81,-142.19,-99.75,-0.77,5.05,-1.4,81.19,23.5,-29.63,-0.75,0.56,1.83,-97.56,55.69,-18.87,0.0,-0.63,-0.61,-38.56,33.5,-8.31,-0.24,0.01,-2.38,-64.12,58.81,-17.75,-0.07,1.25,-1.16,-119.37,99.44,-43.75,-1.14,-0.42,-1.77,-148.75,143.06,-37.5,circleCW
-0.77,3.47,2.73,-77.37,-47.69,49.75,-2.31,0.52,6.01,-147.0,-121.69,118.44,-12.01,-4.66,0.05,-80.87,-371.44,-55.63,-9.33,-3.68,-9.87,111.62,-365.06,-306.69,0.0,8.71,-20.62,1.56,362.31,-379.63,-13.31,24.02,3.04,173.0,528.88,245.81,-20.94,-8.78,17.33,-6.56,-57.69,379.69,-8.62,-4.1,-2.03,-67.69,-267.69,126.25,0.96,-1.13,-10.89,-130.31,-114.19,-198.13,0.04,6.5,0.77,84.69,34.44,-61.37,-0.01,1.53,2.26,-54.44,28.44,-12.25,-0.55,0.18,0.04,-75.19,7.87,2.25,-0.32,-0.27,-0.94,11.5,10.19,1.31,-0.1,-0.46,-0.43,-2.81,16.81,-13.06,-0.29,0.08,0.55,-22.0,22.31,-13.56,circleCW
0.28,0.31,-0.39,4.94,6.56,5.12,0.54,2.28,-0.59,-5.0,7.69,2.06,0.74,-4.64,1.97,18.69,35.88,42.62,-17.0,21.65,10.7,-109.87,-83.87,-46.06,-4.01,10.73,-14.63,-33.56,-596.25,-157.5,2.92,-3.4,-6.65,-77.12,201.81,71.25,-0.57,-2.59,-1.72,230.31,102.56,28.94,-0.39,1.87,2.5,37.44,92.44,23.44,-2.0,0.26,2.91,41.19,33.81,21.0,-1.27,0.33,0.71,18.06,-0.62,3.5,-0.4,-0.3,0.23,9.94,4.12,-6.75,-0.09,-0.13,0.08,-4.0,8.0,-14.0,0.19,-0.12,-0.11,16.19,3.12,-4.75,-0.03,-0.4,-0.21,-1.87,4.56,-4.81,-0.18,-0.1,0.1,-1.06,6.5,-2.5,leftSwap
