ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4,ax5,ay5,az5,gx5,gy5,gz5,ax6,ay6,az6,gx6,gy6,gz6,ax7,ay7,az7,gx7,gy7,gz7,ax8,ay8,az8,gx8,gy8,gz8,ax9,ay9,az9,gx9,gy9,gz9,ax10,ay10,az10,gx10,gy10,gz10,ax11,ay11,az11,gx11,gy11,gz11,ax12,ay12,az12,gx12,gy12,gz12,ax13,ay13,az13,gx13,gy13,gz13,ax14,ay14,az14,gx14,gy14,gz14,label
0.41,0.42,0.24,-11.31,9.44,3.87,3.12,1.98,3.72,-56.13,9.69,74.81,-0.84,-0.61,5.1,-133.87,16.81,152.62,-11.33,-9.13,-2.15,-104.75,-200.62,-173.87,-10.94,1.77,-10.81,42.13,-135.0,-394.81,-3.18,19.98,-4.34,2.5,458.5,-36.44,-0.61,3.78,13.07,-76.12,312.25,393.63,-11.3,-0.62,10.35,-6.06,-102.12,228.12,-10.13,-1.54,-5.39,11.06,-278.81,47.81,-2.08,-1.9,-7.85,-131.63,-152.56,-75.19,0.71,1.94,-2.86,51.25,3.69,-52.38,0.53,0.5,0.24,6.87,10.5,-4.44,0.05,-0.3,-0.05,-36.06,13.19,-0.5,-0.26,0.67,-0.16,-19.75,11.69,-6.06,-0.04,-0.97,-0.15,-23.06,7.62,-4.62,circleCW
-2.79,-0.48,7.28,-147.44,46.63,117.37,-8.47,-8.12,-2.09,-78.44,-161.12,-98.37,-9.16,0.71,-11.36,-28.06,-8.69,-322.19,-5.46,17.19,-7.27,56.06,348.19,-149.19,-1.55,8.69,15.1,36.5,377.56,250.13,-10.2,-3.92,13.83,-65.06,24.63,268.75,-8.15,-3.92,-1.62,-10.38,-189.06,109.06,-4.08,-2.51,-4.69,-130.31,-125.06,-8.69,-0.36,0.36,-1.65,5.19,-21.19,-33.56,0.53,-0.15,-1.16,-21.12,-27.31,-21.31,0.14,0.19,-0.57,-9.81,-7.06,-6.81,0.08,-0.12,0.02,-3.56,-4.37,-1.69,-0.2,0.37,-0.23,1.37,-1.94,-2.56,-0.16,-0.24,-0.66,0.69,4.56,-0.94,-0.21,0.01,-0.21,-0.19,1.19,-0.56,circleCW
0.77,0.96,0.1,-64.69,25.06,64.12,-1.45,-1.01,3.75,-128.31,41.0,112.5,-10.02,-7.96,-6.49,23.62,-112.56,-217.31,-5.49,14.36,-13.76,-12.94,52.44,-444.81,0.14,16.96,0.33,-88.94,390.31,31.56,-3.05,3.15,13.14,14.63,202.56,323.5,-10.71,-4.03,6.8,68.0,-53.06,229.19,-7.37,-3.57,-0.82,40.12,-255.81,82.31,-2.59,-1.45,-4.44,-128.12,-177.12,-13.56,-0.93,-2.22,-4.49,-84.06,-42.06,-69.62,0.45,1.37,-1.14,-9.94,0.31,-55.06,1.06,0.58,0.29,-18.94,12.37,-7.12,0.12,-0.16,0.13,-24.87,0.19,8.69,-0.17,-0.66,-0.44,-5.37,2.62,10.19,-0.26,-0.17,-0.09,-13.62,5.94,1.44,circleCW
0.5,1.16,3.36,-107.12,8.63,98.56,-2.7,-5.86,1.2,-121.13,-39.94,64.94,-12.98,-9.1,-8.76,-8.44,-72.44,-251.31,-5.36,15.8,-10.71,63.56,163.62,-348.5,1.99,13.36,-1.37,133.12,358.56,171.19,-5.09,-1.58,10.78,97.62,130.06,322.37,-9.0,-3.57,3.94,18.87,-106.81,189.44,-6.96,-3.33,-2.37,-15.63,-247.19,64.31,-0.9,-1.56,-5.06,-136.0,-145.31,-45.56,0.01,-0.45,-3.47,45.75,-23.31,-48.44,0.63,0.29,-0.55,-31.44,12.63,-24.0,0.39,0.3,0.48,-21.5,17.0,-9.06,-0.1,0.06,-0.13,-5.75,4.12,0.13,0.0,-0.29,0.05,-12.63,-6.44,3.56,-0.19,-0.3,-0.12,-27.19,1.94,6.0,circleCW
1.1,0.34,1.32,-61.81,20.0,123.5,-3.01,-4.87,2.77,-120.56,9.56,52.25,-11.0,-6.33,-9.02,85.25,-89.56,-279.81,-4.15,14.2,-12.02,-7.81,228.69,-343.06,-1.85,14.19,5.59,71.19,367.56,125.81,-2.6,2.17,7.41,39.13,152.62,314.63,-9.31,-0.54,5.36,51.13,-118.13,231.19,-7.42,-3.47,-0.97,-4.31,-243.69,110.56,-2.05,-3.34,-4.76,-178.38,-169.75,-28.12,0.14,-0.58,-3.82,-26.62,-40.0,-76.44,1.55,0.72,-0.88,13.19,10.06,-29.5,0.13,0.37,0.97,-69.69,14.13,4.25,-0.2,-0.32,0.05,-14.63,2.81,10.06,-0.25,-0.26,0.04,-0.44,8.44,1.06,-0.19,-0.33,0.32,-2.56,6.44,0.56,circleCW
1.44,1.89,0.32,-48.13,12.31,28.06,0.61,2.13,-1.28,-104.63,52.13,91.94,-5.98,-7.08,5.34,-127.12,38.31,29.87,-8.15,-4.84,-9.77,78.56,-77.62,-271.94,-2.25,15.34,-8.69,-89.75,344.69,-229.5,-5.79,12.93,14.67,-48.87,305.44,234.94,-9.13,0.57,11.6,9.5,101.87,310.94,-10.3,-5.44,2.47,16.94,-193.37,146.75,-6.86,-1.53,-3.38,11.63,-271.0,16.31,-0.59,-0.4,-5.81,-135.12,-125.0,-104.69,1.53,1.92,-3.26,38.0,-7.12,-61.69,0.87,2.49,0.88,-4.44,20.25,-9.63,-0.17,0.6,0.59,-37.44,0.19,14.75,-0.19,-0.8,-1.0,-11.25,-2.75,13.81,-0.01,-1.0,-0.78,-1.62,3.12,8.06,circleCW
-2.53,-5.06,2.78,-108.0,-72.44,-27.44,-6.65,-0.38,-6.93,5.44,-55.69,-197.19,-6.56,9.66,-7.01,-48.81,288.69,-178.81,-3.38,11.99,8.04,-20.56,247.37,220.88,-1.39,-7.02,9.18,138.19,44.06,397.44,-9.0,-5.7,1.27,-167.62,-205.31,60.38,-4.95,-2.67,-4.29,-126.87,-189.75,-109.25,-1.68,2.11,-4.55,-41.0,-48.75,-117.62,0.87,3.37,-1.49,16.06,21.87,-64.87,1.08,2.16,0.28,27.25,24.69,-12.25,0.04,0.37,0.96,10.5,-0.88,4.56,-0.63,0.77,0.35,-7.19,-5.31,3.5,-0.25,0.24,-0.14,5.0,-7.25,5.56,0.09,-0.15,-0.19,-3.75,-1.25,-2.12,0.01,0.77,-0.14,3.0,3.75,0.69,circleCW
0.56,-1.08,4.91,-116.06,12.37,135.69,-6.95,-12.3,-5.18,-173.06,-94.44,-65.0,-11.29,1.88,-14.75,86.87,10.75,-338.69,-5.38,19.73,-6.53,126.25,318.19,-67.69,-2.21,8.37,8.45,-85.12,322.37,295.19,-9.95,-10.13,12.88,-94.81,-32.44,251.19,-8.75,-4.68,-2.54,-118.5,-261.06,-15.25,-5.82,-0.72,-6.53,-46.0,-212.0,-112.75,0.47,2.31,-4.8,-16.81,-35.06,-105.25,0.72,3.28,-0.88,-3.75,20.62,-38.13,0.02,0.28,-0.46,1.0,10.25,3.5,0.46,-0.36,0.17,46.94,5.81,2.5,-0.23,-0.9,0.07,-13.25,8.5,-1.19,-0.49,0.97,-0.17,-5.19,2.37,-7.37,0.14,-0.07,0.23,-7.12,5.56,-0.44,circleCW
-5.11,-6.32,0.01,-24.81,-125.44,-37.94,-6.44,0.72,-8.52,62.5,-45.12,-235.94,-6.32,11.37,-9.14,-34.88,324.69,-203.19,-3.53,15.31,10.95,-154.56,345.88,262.75,-9.47,-10.6,16.1,-25.88,-135.25,253.75,-8.57,-4.98,-3.63,-21.5,-294.5,48.5,-5.02,-1.97,-6.19,-96.56,-186.56,-108.63,-1.4,2.37,-3.54,-52.81,-36.69,-143.31,0.76,3.21,-1.61,11.44,25.44,-42.38,0.33,0.78,0.72,-7.0,23.69,4.69,-0.22,0.7,0.49,12.44,4.75,6.37,0.01,-0.78,-0.19,-4.44,8.5,10.25,-0.27,-0.31,-0.49,2.37,-0.62,-2.62,0.08,0.04,-0.4,15.94,-4.25,-4.75,-0.48,0.38,0.32,0.06,7.81,0.88,circleCW
-0.41,-1.05,4.03,-90.56,6.12,142.13,-6.73,-8.67,-0.34,-52.81,-109.0,-19.94,-8.22,-3.73,-13.02,-8.06,-19.81,-263.44,-6.23,15.13,-8.66,73.31,306.31,-258.87,-4.35,16.41,9.68,-42.75,371.13,192.44,-9.41,-2.14,13.27,-47.56,32.06,260.5,-8.04,-7.31,1.51,-99.56,-256.31,3.56,-4.64,0.12,-5.51,-112.69,-172.44,-109.69,-0.81,3.21,-5.11,1.25,-23.44,-84.69,1.31,3.05,-1.17,2.06,29.63,-26.81,1.15,0.84,1.09,15.69,11.12,-2.19,0.02,0.45,0.29,-7.44,9.38,19.75,0.02,0.25,-0.25,-2.5,1.44,6.5,-0.13,-0.24,-0.21,-11.31,12.0,9.56,-0.1,-0.18,-0.01,-3.94,11.81,4.12,circleCW
