ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4,ax5,ay5,az5,gx5,gy5,gz5,ax6,ay6,az6,gx6,gy6,gz6,ax7,ay7,az7,gx7,gy7,gz7,ax8,ay8,az8,gx8,gy8,gz8,ax9,ay9,az9,gx9,gy9,gz9,ax10,ay10,az10,gx10,gy10,gz10,ax11,ay11,az11,gx11,gy11,gz11,ax12,ay12,az12,gx12,gy12,gz12,ax13,ay13,az13,gx13,gy13,gz13,ax14,ay14,az14,gx14,gy14,gz14,label
0.37,-0.08,0.26,-1.94,-9.38,-1.31,0.05,-1.76,1.27,45.75,-9.19,-7.37,0.5,-2.65,1.53,222.75,-103.31,-30.25,-0.19,2.08,-5.99,320.44,-252.06,-17.5,-3.18,7.28,-17.11,137.62,439.13,92.88,-17.7,13.42,0.11,61.0,610.19,107.63,-7.08,0.91,2.79,144.5,-26.31,36.75,0.27,-1.06,-1.43,-35.81,-76.25,-31.06,2.08,-0.26,-0.45,-8.19,-25.88,-23.12,0.86,-0.32,0.42,-4.31,-0.44,-3.62,0.29,-0.46,0.14,-7.87,-5.12,-4.94,0.38,-0.54,-0.13,-8.19,-10.94,-6.06,0.36,-0.76,-0.28,-6.56,-11.0,-3.62,0.34,-0.69,-0.24,-7.12,-6.44,-3.12,0.27,-0.57,-0.18,-12.13,-5.62,-3.12,leftSwap
2.33,1.15,-1.91,183.75,-83.87,-13.25,-2.59,5.76,-18.62,73.12,-49.19,14.81,-7.46,-0.6,5.93,270.69,600.87,81.31,-7.65,-4.17,3.97,121.69,-30.31,-27.31,1.13,-0.62,-0.02,-68.37,-26.69,-49.75,0.91,-0.57,-0.66,24.63,7.06,1.25,0.32,0.55,0.86,-11.31,14.69,12.5,-0.03,-0.14,0.16,0.69,1.0,-2.87,0.06,-0.81,-0.07,-1.69,-1.44,-2.25,0.03,-0.64,-0.06,-5.75,-3.12,-0.88,0.1,-0.41,-0.06,-14.0,0.56,-8.31,0.23,-0.23,-0.17,-0.19,-5.12,-2.81,0.2,-0.46,0.01,-11.94,-3.06,-2.31,0.07,-0.01,-0.08,0.69,-4.25,-2.81,0.01,-0.2,-0.11,0.81,-4.56,-0.5,leftSwap
0.14,-0.51,0.09,-11.94,-33.81,-24.94,0.23,-1.02,-0.6,51.5,-30.31,-26.62,1.67,1.12,-3.34,88.56,-26.87,-29.31,-0.75,9.58,-18.08,209.06,90.06,52.0,-15.23,16.26,-0.49,28.56,532.56,170.06,-5.51,-0.27,2.21,138.0,-25.94,12.63,1.36,-1.26,-2.2,23.75,-27.0,-29.63,0.75,0.55,-0.03,2.5,4.87,-4.75,-0.21,-0.69,0.01,-4.44,7.44,-2.75,0.09,-0.33,-0.39,-2.81,-0.37,-6.25,-0.1,-0.18,-0.02,-0.44,-0.56,-3.94,-0.09,-0.19,-0.3,-0.88,-4.37,-1.19,-0.02,-0.23,-0.1,0.44,-2.69,-2.25,-0.03,-0.1,-0.13,1.31,-2.56,-2.62,0.02,-0.16,-0.01,-0.69,-4.69,-2.06,leftSwap
0.08,-0.83,-0.1,168.25,-3.94,18.06,0.08,0.36,-0.38,128.31,-7.31,2.69,0.55,-2.34,0.54,20.19,-1.19,-13.25,1.97,1.19,-6.15,289.12,-43.06,-1.56,1.22,10.69,-16.03,282.06,437.19,129.31,-22.99,4.44,1.32,-117.06,401.31,69.0,-1.21,1.53,-0.62,17.5,-99.94,0.5,1.6,-0.38,-2.16,23.69,-10.75,-2.31,0.0,-0.72,0.74,3.5,9.94,-2.62,-0.18,-0.87,-0.06,-6.44,-1.62,-0.62,0.39,-0.15,-0.41,-25.81,-0.5,-6.62,0.02,0.13,0.01,-16.5,4.25,-7.87,0.0,-0.17,0.17,3.31,-6.37,-2.87,0.06,-0.44,0.03,-13.69,-3.62,-9.06,0.03,-0.52,-0.2,-9.75,-3.44,-3.75,leftSwap
0.26,-1.89,-0.5,175.38,-16.06,5.37,0.14,0.74,-1.23,256.06,-31.06,-3.81,4.69,3.1,-11.77,221.56,-30.19,4.37,-5.09,-3.57,-1.27,327.44,594.88,92.69,-12.92,-9.38,9.05,-51.37,179.12,35.44,0.12,4.86,0.82,-22.56,-47.56,-9.5,0.31,0.86,-0.23,65.81,0.5,0.19,0.42,0.02,0.41,-8.75,9.19,2.12,0.15,-0.42,0.31,-15.5,-7.06,-2.81,0.37,-0.64,-0.04,-18.75,-5.25,-2.0,0.38,-0.29,0.02,-2.94,-5.56,0.44,0.31,-0.3,-0.04,-10.69,-5.69,-1.37,0.16,-0.75,-0.29,-5.56,-6.5,-1.44,0.09,-0.59,-0.08,-2.87,-2.69,-1.31,0.01,-0.41,-0.12,-2.25,-1.75,-3.0,leftSwap
0.48,-1.63,-0.81,272.31,-20.75,24.0,1.39,-0.22,-1.56,198.13,-48.19,-7.5,-1.13,3.57,-13.04,144.31,26.56,41.81,-5.12,8.7,-4.82,272.5,546.63,56.25,-11.28,-0.72,7.23,125.75,59.38,12.25,-0.67,1.21,-0.77,-114.75,-63.87,-24.87,1.39,0.0,-0.88,8.06,-24.63,-0.06,0.45,-0.39,-0.19,-18.69,2.94,1.25,0.47,-0.45,-0.01,6.81,-4.37,-4.37,0.31,-0.59,-0.01,-8.13,-2.19,-1.94,0.39,-0.36,-0.07,-8.0,-7.5,2.81,0.36,-0.07,-0.23,1.25,-9.31,0.13,0.45,-0.28,-0.31,2.12,-2.94,-1.0,0.29,-0.33,-0.21,3.44,-0.25,-1.25,0.16,-0.45,-0.18,-0.69,-0.94,-0.81,leftSwap
0.2,-1.74,-1.36,308.87,-35.63,-5.75,1.75,1.04,-1.42,121.56,-43.81,-22.5,1.28,10.79,-17.21,85.19,-37.56,17.56,-10.5,3.07,5.35,292.62,560.87,130.44,-12.52,-1.12,6.68,162.12,105.12,34.0,0.87,1.67,-0.48,-51.0,-36.19,-21.62,1.28,-0.23,-0.36,19.75,-10.88,-9.38,1.65,-0.61,0.09,-10.88,1.31,0.56,0.08,-0.25,0.03,-11.25,11.5,-1.19,0.16,-0.54,-0.22,3.19,-5.37,-0.44,0.62,-0.52,-0.31,-10.75,-9.44,0.06,0.21,-0.28,-0.19,-0.13,-4.69,2.25,0.29,-0.42,-0.36,-2.69,1.0,-1.62,0.07,-0.14,0.13,7.81,-5.06,-2.56,0.24,-0.24,-0.28,-3.31,-3.31,-3.19,leftSwap
1.05,-4.15,-2.07,421.37,-26.75,3.0,2.37,-0.09,-1.51,140.88,-51.31,-5.44,-1.84,4.16,-14.64,150.5,30.81,11.81,-9.3,4.03,-2.38,209.12,647.19,69.44,-12.01,1.48,4.76,186.31,117.81,42.25,-0.71,1.42,-0.89,0.06,-49.06,-19.12,0.72,-0.39,0.04,10.63,-8.25,-5.06,-0.14,-0.1,0.29,-22.19,-2.0,-2.5,-0.08,-0.71,-0.45,-17.62,-10.81,-8.94,-0.12,-1.3,-0.85,11.63,-8.88,-4.31,0.13,0.17,0.11,2.81,-3.0,2.75,-0.03,-0.54,0.01,1.25,-3.56,2.25,-0.19,-0.72,-0.15,-5.62,-0.94,-1.44,-0.05,-0.64,-0.27,-0.75,-2.37,-0.13,0.11,-0.2,-0.04,1.25,-3.37,-0.25,leftSwap
-0.51,-0.89,-0.13,298.13,-12.88,6.37,0.51,1.16,-0.26,304.31,-51.06,-14.75,5.74,1.25,-8.21,188.44,-109.75,-23.5,-1.42,10.26,-15.0,204.19,659.87,183.0,-17.7,-7.94,10.47,19.69,261.69,128.0,-2.78,3.28,0.68,64.0,-51.19,-34.38,0.46,-1.47,-0.69,-7.69,-9.06,-33.0,1.12,1.32,0.22,16.25,11.5,0.62,-0.22,-0.51,0.11,-2.44,7.31,3.0,-0.28,-0.19,-0.14,-1.62,-0.69,-0.13,-0.21,-0.53,-0.06,-8.13,-4.19,1.06,-0.14,0.28,-0.09,-15.0,-8.25,-4.75,-0.39,-0.12,-0.26,-9.69,-9.44,-6.19,-0.04,-0.34,0.12,5.87,-18.19,-7.37,-0.11,-0.57,0.02,-1.0,-13.38,-0.56,leftSwap
3.57,0.72,0.22,216.38,-189.13,128.06,3.59,1.4,-18.32,183.75,29.19,156.94,-16.19,-5.25,-9.84,-124.38,585.0,251.12,-5.34,-9.87,3.15,-8.0,-79.31,-53.06,0.42,0.29,-2.06,41.31,-14.63,-27.75,-0.91,0.7,0.79,6.37,0.5,-3.12,-0.26,-1.21,0.93,-0.62,-18.0,-26.0,0.17,-0.73,0.41,-1.94,-13.69,-20.81,0.29,-0.35,0.23,-1.75,-15.69,-9.38,0.28,0.17,0.27,-7.37,3.5,-0.81,-0.37,-0.73,0.56,-2.94,3.19,6.25,-0.43,-0.72,0.44,-0.88,-0.25,-1.25,-0.17,-0.35,0.13,3.62,-5.25,-7.19,-0.12,-0.39,0.4,2.25,-7.81,-6.37,-0.09,-0.43,0.25,2.25,-11.44,-5.87,leftSwap
2.27,5.49,-4.79,260.0,-83.5,113.25,-7.32,3.32,-13.27,-38.5,205.0,235.75,-13.71,-11.99,2.69,-164.88,429.69,326.75,-5.13,-8.31,4.76,-45.69,-25.44,26.0,-0.58,-1.64,-2.31,-54.31,-4.5,-28.5,0.18,0.05,-0.55,21.94,14.06,1.62,-0.32,-0.85,0.62,-0.25,12.25,-13.5,-0.04,-0.22,0.3,-13.69,2.56,-13.31,0.0,-0.73,0.05,-3.87,1.12,0.94,0.17,-0.67,-0.22,-0.81,1.06,-4.37,0.15,-0.31,-0.04,1.75,1.62,-3.75,0.1,-0.42,0.05,6.0,1.37,-1.31,-0.06,-0.67,0.02,-2.56,1.75,-3.37,-0.2,-0.66,0.08,-0.13,-0.25,1.62,-0.2,-0.61,0.0,0.0,-0.13,-2.94,leftSwap
0.22,1.03,1.14,109.06,-73.19,113.06,2.04,0.42,-0.78,36.94,-79.81,119.87,-0.58,7.68,-17.1,123.62,-89.19,142.06,-9.46,-1.88,1.82,-175.38,555.5,217.56,-7.74,-10.67,7.02,-59.19,56.25,55.88,1.01,-1.8,-1.46,-19.31,-55.38,-33.25,0.08,1.11,-0.25,39.06,5.62,-2.75,-0.72,-0.37,0.99,-17.06,5.81,-3.0,0.43,0.4,0.8,-18.94,-7.87,-6.62,-0.25,-1.06,-0.21,-10.5,-10.81,-0.69,-0.12,-0.98,-0.31,0.25,-12.75,-3.12,-0.03,-0.46,-0.26,-4.62,-8.63,-5.81,0.1,-0.11,0.18,3.5,-4.62,-5.25,-0.06,-0.35,0.0,2.87,-5.69,-3.56,-0.19,-0.53,-0.07,4.87,-6.19,-1.69,leftSwap
-0.9,0.7,2.25,104.75,-62.25,98.25,1.43,2.57,0.57,115.37,-86.69,161.19,1.09,2.82,-12.38,43.06,-29.25,194.94,-15.43,-4.53,-12.35,-139.62,652.94,287.06,-12.62,-8.67,10.17,-36.63,84.81,75.69,1.23,3.8,-2.33,-40.31,-19.69,-46.31,-0.13,0.17,-1.12,54.0,26.06,4.12,-0.19,-1.12,1.16,-15.56,8.88,-13.69,0.74,0.31,1.0,3.56,-11.63,-19.56,0.35,-0.54,0.17,9.13,-15.63,-2.31,0.35,-0.76,0.05,-10.75,-10.06,-1.31,0.53,-0.3,0.06,3.37,-7.94,-5.81,0.34,-0.4,0.22,-1.0,-5.19,-2.87,0.24,-0.52,0.19,-2.5,-6.69,-4.44,0.17,-0.49,0.12,5.19,-12.06,-7.25,leftSwap
-1.25,2.11,2.52,59.19,-65.25,137.19,1.44,0.34,1.25,33.19,-91.31,156.56,1.29,-0.39,-7.43,72.87,-82.0,99.56,-6.31,7.86,-15.71,-123.13,613.5,255.12,-19.18,-8.47,12.32,124.56,161.19,129.0,4.51,1.48,-1.82,-18.06,-86.75,-67.19,-0.11,0.32,-1.94,70.31,16.56,9.38,-0.65,-0.51,0.9,-0.31,8.19,-16.75,0.24,0.28,0.79,-14.87,-5.75,-22.69,0.46,-0.02,0.05,1.06,-14.06,-7.37,0.12,-0.85,-0.17,-5.31,-10.81,-2.31,0.23,-0.54,-0.34,8.63,-9.63,-4.37,0.21,-0.36,0.04,0.88,-1.81,-1.56,0.3,-0.61,0.17,-13.62,1.75,-1.94,0.28,0.03,0.11,-0.31,-1.75,-2.94,leftSwap
2.24,1.68,0.18,68.19,-117.31,157.0,-1.71,7.23,-18.58,178.81,-33.44,168.44,-16.41,-7.09,-0.27,-152.69,549.88,276.75,-11.02,-7.88,8.75,-14.44,45.38,23.69,2.74,1.12,-2.75,4.5,-28.75,-30.81,-0.76,0.95,-0.42,69.81,-0.13,15.44,-0.41,-0.07,1.04,-7.37,0.31,-14.56,0.38,0.41,0.08,-0.69,-10.75,-7.06,-0.12,-0.61,-0.09,-11.63,-8.38,-2.81,0.07,-0.8,-0.05,-1.31,-4.62,-5.94,0.28,-0.61,-0.02,1.69,-6.31,0.31,-0.01,-0.43,-0.09,-6.25,-2.75,-1.37,-0.04,-0.59,-0.1,-3.19,-3.31,-0.56,-0.02,-0.4,0.0,0.13,-4.25,-1.25,-0.17,-0.5,-0.13,0.37,-3.87,-1.5,leftSwap
-0.74,2.48,2.64,49.94,-99.25,176.75,5.81,0.58,-5.63,146.56,-116.75,157.19,-7.73,6.86,-16.5,53.38,337.12,165.25,-19.66,-2.37,-4.25,-105.87,348.0,328.31,0.19,-6.04,2.54,37.44,-103.62,-40.56,0.27,-0.18,-1.8,-7.12,-34.25,-10.94,-0.13,0.34,0.07,30.0,4.75,-3.19,0.23,-0.37,0.67,-7.62,0.5,-12.37,-0.12,-0.6,0.17,5.25,-10.88,-6.25,0.0,-0.36,-0.3,-4.12,-10.5,-8.44,0.08,-0.15,-0.2,8.56,-5.56,-5.87,0.08,-0.36,0.02,-2.12,-2.0,-0.25,0.03,-0.29,0.05,1.37,-1.0,0.31,-0.22,-0.18,-0.08,2.69,-1.44,-1.62,-0.01,-0.36,-0.07,-3.0,0.0,0.5,leftSwap
0.89,-2.81,-0.05,1.19,-141.25,10.69,-0.75,8.68,-15.64,154.63,-92.62,26.87,-20.98,5.03,-3.74,-92.56,709.37,415.19,-17.44,-7.85,12.36,45.81,127.81,141.69,3.46,-1.36,-0.72,-13.25,-46.63,-63.13,-0.37,1.2,-0.35,83.44,17.12,7.31,-0.27,-0.64,0.96,-30.94,14.38,-11.94,0.26,-0.57,0.12,-14.69,-2.25,-10.0,-0.28,-0.51,0.02,-5.69,-2.0,-2.12,-0.15,-0.34,-0.19,1.31,-1.62,-4.75,0.15,-0.45,-0.04,-2.0,-4.44,-2.62,0.28,-0.23,-0.02,-0.5,-3.31,-2.87,-0.08,-0.3,-0.14,-1.12,-1.94,-1.56,-0.03,-0.2,-0.12,4.31,-2.87,-2.0,0.1,-0.25,-0.08,0.44,-1.69,-2.0,leftSwap
0.82,-0.78,2.95,69.81,-86.31,158.0,1.6,4.37,-8.58,178.5,-113.19,143.69,-9.15,0.4,-5.68,-150.12,619.0,232.37,-14.31,-2.16,11.22,-67.81,214.31,110.12,1.54,-1.72,0.07,14.69,-87.12,-27.44,1.2,-0.92,-2.44,-6.06,-11.44,-8.56,-0.38,-0.41,-0.47,6.81,7.87,4.37,-0.38,0.52,0.5,8.69,5.69,-7.75,-0.08,0.43,0.36,14.75,-2.37,-4.69,0.2,-0.42,-0.04,-3.19,-7.69,0.94,0.03,-0.37,-0.07,1.37,-6.31,-2.31,0.2,-0.64,-0.09,-0.31,-3.06,-0.56,-0.01,-0.53,-0.08,-1.62,1.37,0.0,-0.14,-0.21,-0.13,-0.5,1.37,-1.44,-0.15,-0.29,-0.1,-1.25,1.56,1.0,leftSwap
0.3,2.04,2.69,114.69,-53.13,20.25,1.01,0.15,1.69,169.0,-119.13,51.81,3.11,17.0,-20.55,402.94,-138.06,158.81,-19.08,-5.51,-5.4,-111.31,640.56,367.19,-12.41,-10.42,8.26,-32.0,63.87,36.63,3.99,0.86,-1.26,-54.81,-25.69,-58.25,-0.69,0.07,-0.32,41.25,10.69,19.94,-0.7,-0.3,0.26,-11.44,10.25,-12.5,0.02,0.17,0.01,0.0,-8.13,-11.56,-0.04,-0.39,-0.15,-0.81,-12.37,0.62,-0.1,-0.22,-0.32,-4.19,-7.62,-2.06,0.3,-0.44,-0.25,6.75,-8.19,-3.5,0.12,-0.41,-0.08,-1.12,-5.06,-2.62,0.0,-0.38,-0.05,3.87,-3.62,-2.31,-0.02,-0.25,-0.09,0.88,-2.75,-0.19,leftSwap
3.35,2.99,-1.16,119.69,-82.5,188.37,-4.69,11.21,-8.08,-69.37,247.63,208.31,-16.08,-12.21,-4.08,-65.87,307.12,291.38,-4.31,-8.74,7.4,-71.81,-24.56,-21.44,0.65,0.89,-0.57,-2.37,-31.94,-30.37,0.57,-0.7,-0.71,13.19,-23.06,5.56,0.05,-0.85,0.13,-0.19,-15.25,-10.5,0.7,0.03,0.3,8.25,-13.62,-13.56,0.35,-0.16,0.45,8.0,-9.5,-8.94,0.33,-0.42,0.2,5.69,-11.56,-6.5,0.37,-0.99,0.06,1.19,-12.31,-6.31,0.56,-0.73,0.12,1.81,-11.81,-5.5,0.63,-0.36,0.2,-0.19,-4.62,-0.31,0.16,-0.67,0.14,-2.25,-4.81,0.19,0.08,-0.81,0.17,2.31,-10.5,-1.81,leftSwap
