@relation RandomForestClassifierTest

@attribute ax0 numeric
@attribute ay0 numeric
@attribute az0 numeric
@attribute gx0 numeric
@attribute gy0 numeric
@attribute gz0 numeric
@attribute ax1 numeric
@attribute ay1 numeric
@attribute az1 numeric
@attribute gx1 numeric
@attribute gy1 numeric
@attribute gz1 numeric
@attribute ax2 numeric
@attribute ay2 numeric
@attribute az2 numeric
@attribute gx2 numeric
@attribute gy2 numeric
@attribute gz2 numeric
@attribute ax3 numeric
@attribute ay3 numeric
@attribute az3 numeric
@attribute gx3 numeric
@attribute gy3 numeric
@attribute gz3 numeric
@attribute ax4 numeric
@attribute ay4 numeric
@attribute az4 numeric
@attribute gx4 numeric
@attribute gy4 numeric
@attribute gz4 numeric
@attribute ax5 numeric
@attribute ay5 numeric
@attribute az5 numeric
@attribute gx5 numeric
@attribute gy5 numeric
@attribute gz5 numeric
@attribute ax6 numeric
@attribute ay6 numeric
@attribute az6 numeric
@attribute gx6 numeric
@attribute gy6 numeric
@attribute gz6 numeric
@attribute ax7 numeric
@attribute ay7 numeric
@attribute az7 numeric
@attribute gx7 numeric
@attribute gy7 numeric
@attribute gz7 numeric
@attribute ax8 numeric
@attribute ay8 numeric
@attribute az8 numeric
@attribute gx8 numeric
@attribute gy8 numeric
@attribute gz8 numeric
@attribute ax9 numeric
@attribute ay9 numeric
@attribute az9 numeric
@attribute gx9 numeric
@attribute gy9 numeric
@attribute gz9 numeric
@attribute ax10 numeric
@attribute ay10 numeric
@attribute az10 numeric
@attribute gx10 numeric
@attribute gy10 numeric
@attribute gz10 numeric
@attribute ax11 numeric
@attribute ay11 numeric
@attribute az11 numeric
@attribute gx11 numeric
@attribute gy11 numeric
@attribute gz11 numeric
@attribute ax12 numeric
@attribute ay12 numeric
@attribute az12 numeric
@attribute gx12 numeric
@attribute gy12 numeric
@attribute gz12 numeric
@attribute ax13 numeric
@attribute ay13 numeric
@attribute az13 numeric
@attribute gx13 numeric
@attribute gy13 numeric
@attribute gz13 numeric
@attribute ax14 numeric
@attribute ay14 numeric
@attribute az14 numeric
@attribute gx14 numeric
@attribute gy14 numeric
@attribute gz14 numeric
@attribute label {circleCW,leftSwap,upSwap,rightSwap,downSwap,circleCCW}

@data
-0.09,-0.08,0.07,0.5,-2.56,2.44,0.16,0.57,0.26,8.31,6.31,2.06,1.5,4.03,-0.03,349.5,-3.44,142.13,-9.57,0.89,15.22,170.87,54.81,105.19,-0.15,-1,-8.35,-106.69,-512.38,-96.25,-3.95,1.46,-19.32,-82.94,-108.69,73.31,-1.79,-3.82,-1.76,29.69,230,26.75,-1.84,1.07,1.86,-106.31,139.56,18.37,-1.6,0.39,1.52,67.87,42.06,15.75,-0.76,0.03,1.18,26.37,-0.75,-8.38,-0.2,0.35,0.15,32.13,1.94,-16.69,-0.03,-0.3,-0.38,8,5.94,-5.87,-0.07,-0.42,-0.36,2.69,11.94,-4.62,-0.2,-0.2,-0.03,2.31,9.75,-0.5,-0.01,0.24,0.16,-23.25,10.88,-0.94,circleCCW
-0.24,-1.03,2.9,4.69,46.19,72.5,-0.45,-3.5,9.71,265.44,21.87,129.38,-13.3,-6.64,5.31,327.31,-379.81,-99.81,-10.4,-5.33,-5.48,45.06,-569.37,-77.5,-1.03,1.02,-3.78,-73.75,172.81,-11.19,0.11,3.03,-0.14,32.88,109.63,15.69,-0.1,-0.24,0.12,-69.62,60.12,29,-0.38,0.5,0.12,-85.94,41.19,23.94,-0.31,-0.47,0.07,-84.94,32.5,21.31,-0.06,-0.46,-0.17,-32.38,22.44,22.31,-0.22,-0.62,-0.7,-18.87,26.31,19.37,-0.21,0.26,-0.27,-19.69,31.5,17.94,0,-0.02,-0.14,-8,33.06,19,-0.04,0.02,0.48,-11.56,31.56,18,0.03,-0.11,0.03,-11.94,31.5,17.87,leftSwap
1.17,-1.41,0.73,73.5,11.94,25.75,0.85,0.61,6.15,203.5,-7.12,65.62,-3.81,4.5,-0.53,456.63,-388.31,19.75,-5.9,4.7,-8.5,32.75,-267.25,2.37,-1.55,-1.58,-3.15,-26.62,160.94,10.06,-1.71,0.98,1.01,-77,91.37,13.19,-1.05,1.1,0.19,-105.19,50.75,4.56,-0.43,-0.1,-0.43,-37.94,26.12,5.31,-0.1,0.21,-0.35,-30.56,25.19,2.25,0.09,-0.42,-0.64,-35.63,28.38,1,0.03,-0.41,-0.36,-29.63,25.31,2.19,0.01,0.41,0.11,-27.81,18.5,7.25,-0.06,0.52,0.31,-28.38,15.13,6,0.06,0.83,-0.16,-35.13,18.81,3.56,0.05,0.85,-0.1,-11.19,14.06,4.44,leftSwap
-0.11,0.24,-0.31,-9.63,-4.06,12.44,0.47,-0.42,-0.61,64.37,-3.37,26.69,0.56,-3.61,1.8,399.31,-3,76.31,-7.06,10.78,-3.84,96.56,-284.69,40.38,-17.29,3.88,0.1,-75.19,-375.13,-33.94,0.53,-0.05,-2.37,57.13,162.25,14.06,-0.79,-2.39,0.8,-57.19,82.81,4.75,0.11,1.39,1.12,-36.5,54.38,1.25,-0.33,0.6,0.67,-94.19,46.25,5.25,0.02,-0.2,0.27,-65.56,25.5,10.31,0.26,-0.83,-0.56,-46.94,16.5,5.37,0.25,0.68,-0.7,-59.81,14.06,2.31,0.3,-0.27,-0.55,-72.12,10.56,1.12,0.23,0.8,-0.45,-23.5,8.56,4.94,0.27,0.01,-0.58,-18.12,8.88,4.37,leftSwap
0.67,-0.35,0.5,72,1,19.44,2.77,-1.67,2.3,413.25,16.75,84.62,-6.56,6.93,2.4,36.5,-262.81,38.13,-5.32,-5.1,3.03,-1.69,-513.87,5.62,-1.63,-3.23,-5.06,-112.06,148.69,33.69,0.13,-1.47,-1.32,-2.94,117.31,19.06,0,0.03,-0.48,-61.06,62.25,16.62,-0.19,-1.09,-0.1,4.75,59.5,7.94,0.05,-0.1,-0.22,-46.13,44.13,8.06,0.02,0.02,0.19,-70.56,35.5,13.88,0.22,-0.1,0,-51.44,18.81,10.38,0.2,0.08,-0.25,-37.69,15.5,6.56,0.12,-0.16,-0.28,-44.44,12.75,1.37,0.25,0.3,-0.18,-22.06,7.19,-0.62,0.26,0.32,-0.26,-14.25,9.31,1.19,leftSwap
0.29,-3.01,0.75,160.12,0.69,34.06,0.37,-3.7,7.74,376.94,-7.19,37.69,1.09,1.48,-1.24,-34.19,-447.56,-15.63,-2.9,9.41,-7.11,64.31,-216.88,-26.12,-1.95,-1.19,-3.03,-21.62,167.25,33.19,-1.13,0.17,1.16,-1.5,139.37,18.69,-0.44,0.96,1.05,-54.31,53.81,23.44,-0.08,-0.48,0,-29.81,37.88,18.5,0.17,-0.46,-0.34,-35.75,33.06,11.5,0.16,-0.88,-0.33,-41.63,24.44,7.75,-0.09,-0.38,-0.42,-14,21.31,8.94,0.09,0.27,-0.28,-1.19,10.94,1.12,0.08,0.65,-0.12,-16.87,11.81,-4.75,0.19,0.55,-0.06,-26.19,11.69,-3.12,0.16,0.24,0.03,-31.44,12.63,-2.56,leftSwap
1.53,-3.74,4.34,248.5,5.75,81.94,-6.71,-0.54,5.43,320.5,-246.13,-1.31,-6.77,-6.8,1.79,-68.5,-495.69,-62.13,-2.41,-1.55,-4.54,-20.37,154.56,-8,-0.08,-0.9,0.34,-23.75,129.81,4.62,-0.61,0.33,1.32,-35.88,84.31,9.31,-0.1,0.11,0.05,-35,48.56,14.44,0,1.05,-0.2,-23.75,49.56,13.31,0.27,0.71,-0.22,1.94,33.31,11.75,-0.06,0.6,0.33,-80.12,31.87,-0.56,0.14,0.33,-0.09,-63.87,16.94,-4.37,0.19,-0.15,-0.05,-64.06,16.5,-1,-0.11,-0.28,-0.02,-50.63,11.69,-2.19,0.22,-0.38,0,-52.38,7.56,-3.37,0.22,0.12,-0.07,-18.37,5.62,1.5,leftSwap
1.99,-1.27,1.61,262.5,-16.87,77.12,-9.65,7.11,6.49,282.12,-83.37,-13.81,10.11,1.89,-7.94,-260.88,-345.31,-101.12,-1.27,1.6,-9.46,-1.19,29.94,23.25,-0.55,-2.31,-1.17,14.25,144.13,23.56,-0.25,0.39,2.34,-45.75,110.88,-0.94,-1.08,1.13,1.54,-6.44,78.44,3.87,0.14,1.15,1.05,-63.69,46.13,0.88,-0.21,-0.67,0.43,-71.37,33.5,1,-0.04,-0.02,0.63,-75.37,18.69,2.75,-0.09,-0.13,0.31,-71.12,15.94,3.75,-0.16,-0.69,-0.16,-58.87,16.44,-1.37,0.27,0.32,-0.03,-28.87,12.19,-1.31,0.1,0.63,0.09,1.19,8.88,-0.69,0.07,-0.05,0.02,-11.31,3.31,-7.56,leftSwap
-0.21,0.87,-0.23,208.38,-35.25,66.06,1.13,-2.76,5.29,263.94,35.88,83.81,-5.9,23.49,5.99,146.37,-161.37,-46.5,-10.3,-0.89,-1.72,-5.81,-299.69,-73.19,-2.25,-1.89,-9.35,-39.5,44.5,14.81,-0.03,0.72,-2.56,52.38,148.56,5.12,-0.17,1.02,0.22,-126.87,135.75,34.06,-0.77,-1.15,2.73,-103.06,61.31,42.13,-0.38,-0.35,1.04,-130.19,44.13,21.81,-0.23,-0.66,0.24,-93.87,30.75,12.94,-0.08,-0.17,0.22,-36.5,21.56,1.31,0.08,0.33,-0.29,1.37,17.5,4.81,0,0.4,0.14,14.25,10,-1,0.09,-0.01,0.01,10,6.37,-0.94,0.08,-0.5,-0.56,20.12,7.69,3.19,leftSwap
1.28,-1.69,2.65,186.37,-5.81,44.81,-6.96,6.53,1,409.44,-115.06,-18.87,0.98,-7.64,0.16,-212.06,-291.63,-122.31,-2.71,-1.28,-5.98,-66.19,111.69,3.94,-0.44,-1.02,-1.03,14.44,116.19,30.44,-0.18,0.28,0.13,-145.06,80.94,30.69,-0.47,-0.41,1.46,-104.38,71.87,29.63,-0.01,-1.59,0.19,-34.88,47.56,25.31,-0.43,-0.13,-0.42,-61.56,42.44,12.44,0.53,-0.44,-0.04,-49.94,31.62,11,0.2,0,-0.26,-20.19,18.25,7.56,-0.25,-0.01,-0.23,0.25,17,6.44,-0.03,-0.02,-0.02,-0.94,14,-0.88,-0.04,-0.44,0.29,-2.12,15.25,0.31,-0.04,-0.15,0.53,-0.94,7.5,-3.62,leftSwap
